Duplicate,PoorOutput,PoorPerformance,DeadCode,DeadDocs,MissingDocs,Readability,Convention,BugProne,PoorTesting,ArchitecturalFlaw,NonCodeArtifact,NotSATD
-639,0,87,-173,0,-27,10,0,-151,19,-23,480,22
-214,5,19,8,-4,629,0,32,231,2,-8,302,240
32,4,-5,50,-3,0,-21,-1,53,51,-48,,-38
-14,8,205,-2,-19,69,1,1,-18,-2,55,,-418
-98,-6,15,-22,13,22,0,-2,18,-19,4,,
95,69,5,0,-4,25,0,1,22,33,-28,,
0,-373,25,-6,122,-7,-22,1,2,-5,106,,
-1,46,-7,0,,-1,64,225,-31,25,1,,
-80,1,51,-252,,-46,12,12,64,5,-34,,
75,2,0,-2,,70,31,-2,33,237,58,,
-119,-65,0,10,,-136,0,-7,7,87,-3,,
,301,1,-8,,146,0,19,-33,57,0,,
,-1,-8,-18,,24,29,117,39,-31,18,,
,-10,83,-14,,-25,4,0,38,54,-21,,
,23,4,413,,42,0,4,-2,21,1,,
,-305,0,12,,-14,3,-8,9,1,9,,
,1142,27,-184,,1,25,-15,-11,96,120,,
,-9,98,-24,,15,42,-2,1,451,-1,,
,-831,2,17,,-3,-17,-2,-83,10,42,,
,216,0,-355,,-7,-4,0,44,-32,0,,
,0,617,-30,,-73,0,2,-123,100,2255,,
,2,-330,-5,,-705,0,-1,211,0,91,,
,-166,0,66,,-23,0,18,-3,-707,707,,
,147,5,-40,,310,-1,-1,17,90,641,,
,,-115,71,,,0,192,-3,11,-68,,
,,3,-43,,,1,0,87,0,-9,,
,,183,-4,,,10,-10,-32,-33,1,,
,,,-213,,,-1,-6,-270,5,-121,,
,,,1,,,3,2,335,6,59,,
,,,20,,,1,2,36,11,,,
,,,1,,,0,18,-307,20,,,
,,,-30,,,-3,0,-4,-7,,,
,,,-29,,,-3,2,345,30,,,
,,,,,,49,2,4,-16,,,
,,,,,,0,-2,155,-70,,,
,,,,,,-1,18,,,,,
,,,,,,0,-64,,,,,
,,,,,,0,65,,,,,
,,,,,,219,0,,,,,
,,,,,,0,4,,,,,
,,,,,,172,40,,,,,
,,,,,,-2,-90,,,,,
,,,,,,0,33,,,,,
,,,,,,8,-24,,,,,
,,,,,,0,-74,,,,,
,,,,,,,54,,,,,